geneid	Sam_20CF30184F	Sam_20FC40151F	Sam_20FC40237F	Sam_20FC40679F	Sam_20FC40819F	Sam_20FC40828F	Sam_20FC40862F	Sam_20FC40894F	Sam_20FC40946F	Sam_20ZN11229T	Sam_20ZN11880F	Sam_20ZN13419F	Sam_20ZN13511F	Sam_20ZN13514F	Sam_20ZN14432T	Sam_20ZN14604F	Sam_20ZN21802F	Sam_20ZN22517F	Sam_20ZN22870F
ABCB1	5.65E-05	2.31E-05	1.52E-06	6.79E-06	5.83E-06	0.000184007	1.05E-05	3.51E-05	7.62E-06	2.66E-05	9.75E-05	3.64E-06	1.70E-05	1.22E-05	1.13E-05	1.19E-05	1.20E-05	4.19E-06	3.46E-05
ABL1	0.002186891	0.001600197	0.002639032	0.000565301	0.000864852	0.000502482	0.00131384	0.002099534	0.002006265	0.001656081	0.001303338	0.000473168	0.001381064	0.001327238	0.001050934	0.000991569	0.000569857	0.002015771	0.001835771
ABL2	0.000373184	0.000358801	0.000622935	0.000114356	7.01E-05	0.000131964	0.000132265	0.000223994	0.000183912	0.000292455	0.000189464	0.00012558	0.0001626	5.37E-05	0.000131814	7.26E-05	0.000289736	0.000650266	0.000118874
ACVR1B	0.000691527	0.000721478	0.000408156	0.000100717	7.63E-05	6.09E-05	0.000198287	0.000586994	0.000420132	0.000543945	0.000513049	6.14E-05	0.000233592	0.000154473	0.000176184	8.47E-05	0.000226586	0.002232602	0.000205884
AIP	0.002040388	0.000517215	0.00162956	4.00E-05	5.59E-05	6.60E-05	0.000270337	0.00048889	0.000913837	0.001736341	0.000844532	6.48E-05	0.000153888	0.000123228	7.36E-05	4.49E-05	0.000329037	4.49E-06	0.000162892
AKT1	0.003984322	0.003338589	0.00429325	0.000128274	0.000318209	0.000152081	0.000206239	0.003234043	0.003777717	7.41E-05	0.002630608	0.000234444	0.000316885	0.00032837	0.000328735	0.00020669	0.001094661	1.97E-05	0.000226215
AKT2	0.002593515	0.002364947	0.003292205	0.000598886	0.001415457	0.001166179	0.00184837	0.001610367	0.001526199	0.000983744	0.002297842	0.000846069	0.001572772	0.001765514	0.001464142	0.001420343	0.001017935	0.001607827	0.001732396
AKT3	0.000292233	0.00057858	0.001476601	0.001167255	0.000173523	0.00018084	0.000272646	0.000179609	0.000190973	9.24E-05	0.000478898	0.000765741	0.001475285	0.00015642	0.000155529	0.001644881	0.000417894	0.000478547	0.000595497
ALK	0.00045429	1.31E-05	3.74E-05	3.17E-06	8.31E-07	8.46E-07	1.68E-05	1.49E-05	8.90E-06	0.001544218	3.42E-05	6.91E-06	1.28E-05	3.83E-06	3.99E-05	9.70E-06	1.73E-05	0.002932625	1.31E-05
ANKRD11	0.002177066	0.001389374	0.001446597	6.70E-05	0.000234527	9.25E-05	0.000177488	0.001287674	0.002287367	0.000419651	0.001773418	8.92E-05	0.000176504	0.000214673	0.000156096	9.35E-05	0.000822855	0.000276324	0.000183423
