geneid	Sam_11F	Sam_12F	Sam_14F	Sam_15F	Sam_1F	Sam_20F	Sam_22F	Sam_23F	Sam_24F	Sam_25F	Sam_27F	Sam_28F	Sam_29F	Sam_31F	Sam_34F	Sam_36F	Sam_38F	Sam_39F	Sam_42F	Sam_43F	Sam_44F	Sam_45F	Sam_50F	Sam_55F	Sam_7F
ABCB1	0.000124949	6.12E-05	3.48E-05	6.88E-05	4.74E-05	6.03E-05	0.000142624	6.17E-05	0.000114272	7.66E-05	3.45E-05	0.000135461	4.19E-05	6.68E-05	1.40E-05	8.66E-06	5.36E-05	5.43E-05	5.45E-05	0.000245662	0.000211061	6.46E-05	6.58E-05	7.58E-05	1.63E-05
ABL1	0.002165926	0.00208642	0.001562167	0.001727685	0.003724398	0.002210102	0.002137075	0.002391117	0.002156964	0.002786009	0.0017891	0.001804115	0.000823463	0.001512873	0.001205626	0.000278686	0.002270886	0.001866638	0.001609256	0.002046359	0.00187412	0.001516442	0.001504616	0.001523903	0.001478994
ABL2	0.000241477	0.000213044	0.000116863	0.0002287	0.000743767	0.000259729	0.000193161	0.00029015	0.000265171	0.000252051	0.000267386	0.000204439	0.000194579	0.000154334	0.000228925	0.000112527	0.000223738	0.000342809	0.000191556	0.000243193	0.000210624	0.000448339	0.000161709	0.000205063	0.000183155
ACVR1B	0.000780288	0.00070964	0.000687684	0.001069687	0.001562427	0.001049549	0.001211164	0.000949481	0.001075886	0.00092507	0.000801662	0.00084617	0.000630447	0.000619666	0.000840554	0.000196314	0.001171576	0.000901273	0.000838894	0.001092438	0.000843331	0.000651525	0.000422397	0.000561511	0.000883463
AIP	0.000621593	0.00084708	0.000506663	0.000498323	0.000943622	0.000596222	0.000573404	0.000474209	0.000809837	0.000540751	0.000437026	0.000806851	0.000325875	0.000506559	0.000549517	0.000196787	0.000682716	0.000635569	0.000438127	0.000578998	0.000529097	0.000487106	0.00046253	0.000847788	0.000492989
AKT1	0.003335915	0.002056162	0.002827665	0.00203934	0.00280606	0.003124193	0.002639472	0.002475306	0.003172405	0.00276944	0.002400347	0.002561421	0.001602436	0.002547392	0.002840793	0.000123775	0.00283607	0.002564299	0.002378566	0.002231223	0.002305693	0.002693081	0.002417371	0.002603647	0.002435936
AKT2	0.002321415	0.001643677	0.001839983	0.001536613	0.002450678	0.002335735	0.002021134	0.002118762	0.002273098	0.002263011	0.002011206	0.001874094	0.00107153	0.001853972	0.001834225	0.000114759	0.002197357	0.002775694	0.001592175	0.001437279	0.001603655	0.002148988	0.001193839	0.001329035	0.001787398
AKT3	0.000158095	0.000810365	0.000634872	0.000472039	0.000185811	0.000191577	0.000309145	0.000299776	0.000302797	0.000162925	0.000561037	0.000443023	0.000177449	0.000367849	0.000224291	1.15E-05	0.000182749	0.000562165	0.000562512	0.000764055	0.000604896	0.000941162	0.000326882	0.000640172	0.000255151
ALK	0.000100946	7.37E-05	0.001150236	2.79E-05	0.001680972	8.29E-05	2.21E-05	1.54E-05	1.50E-05	2.06E-05	2.92E-05	1.91E-05	2.08E-05	2.27E-05	1.48E-05	0.000209022	5.00E-05	5.58E-05	3.81E-05	2.23E-05	4.11E-05	0.000239267	6.90E-06	6.79E-06	1.75E-05
ANKRD11	0.001444215	0.000918869	0.001785163	0.001185972	0.002828988	0.001446626	0.001508419	0.001472534	0.001467614	0.001343477	0.001593358	0.001543245	0.000692536	0.001237136	0.001579672	0.000331555	0.001376132	0.00094203	0.001357799	0.001281444	0.001569952	0.000977753	0.000651671	0.000571808	0.001275478
APC	0.000445895	0.00063282	0.001172532	0.000778744	0.001682698	0.000426747	0.000626886	0.000517942	0.000560156	0.000578113	0.000935946	0.000758389	0.000511465	0.000750474	0.000452377	0.000159072	0.000559618	0.00070477	0.000938878	0.000741699	0.000875231	0.00115105	0.000555719	0.000826439	0.000891313
AR	0.000106227	0.000240271	7.10E-05	0.000108408	0.001457663	6.70E-05	6.55E-05	3.84E-05	3.56E-05	4.16E-05	3.29E-06	4.79E-05	0.000127125	3.96E-05	4.20E-05	0.000202736	5.84E-05	0.000208911	0.000105159	5.88E-05	4.76E-05	0.000132449	9.15E-06	0.00011909	4.13E-05
ARAF	0.00416985	0.004116182	0.003955784	0.003704163	0.003453304	0.003903192	0.004342268	0.004473217	0.004275562	0.004478472	0.004045737	0.003940394	0.002817	0.003531444	0.002866618	0.000186092	0.004673973	0.004529263	0.003702701	0.00495765	0.003266089	0.003024363	0.003179055	0.004957401	0.00350762
ARFRP1	0.000410715	0.000327419	0.000160175	0.000205001	0.000950285	0.000534845	0.000316984	0.000235335	0.000418804	0.000325521	0.000222806	0.000331236	0.000180082	0.000253036	0.000515024	9.32E-05	0.000405875	0.000226059	0.000161639	0.000203676	0.000232109	0.000142835	0.000153655	0.00014464	0.000268598
ARID1A	0.003923911	0.003796728	0.004661571	0.004632773	0.004482056	0.004331198	0.005015315	0.005543326	0.004317945	0.005674237	0.006541662	0.004494297	0.004113837	0.004071326	0.003843778	0.000533252	0.004823988	0.00696472	0.00574052	0.00634163	0.005674229	0.006319586	0.003859	0.004761837	0.003606941
ARID1B	0.001598663	0.001369753	0.001240388	0.001824268	0.002199208	0.001752181	0.002006415	0.002224583	0.0020753	0.002001992	0.002051621	0.001600075	0.001298493	0.001324841	0.001209285	0.000261707	0.001941522	0.002023821	0.001765016	0.002072042	0.001947268	0.001820513	0.001136553	0.001535405	0.001433158
ARID2	0.001314948	0.001239374	0.001654441	0.00202977	0.001981358	0.001430938	0.002184725	0.002602712	0.001732923	0.001841564	0.002825876	0.001683103	0.001596076	0.001456315	0.001877643	0.000268904	0.001564796	0.002554879	0.002036802	0.002390557	0.002299485	0.001754821	0.00113992	0.001333672	0.001548445
ARID5B	0.000744015	0.000920862	0.000383954	0.000881633	0.00130585	0.000960063	0.001138059	0.001029269	0.001094734	0.001402611	0.001430299	0.000597954	0.000661921	0.000622741	0.000331654	0.000154729	0.001276928	0.001242665	0.001341536	0.00141648	0.00115564	0.001088043	0.000432476	0.000757199	0.000600573
ASXL1	0.001190667	0.000950619	0.001051066	0.001544045	0.002939142	0.001460233	0.00157157	0.001889578	0.001399462	0.001516893	0.001993587	0.001101233	0.001523628	0.00103702	0.000917359	0.000406172	0.001497614	0.002175191	0.0020087	0.001534749	0.001843479	0.00267455	0.000751427	0.000732164	0.000993519
ASXL2	0.000812371	0.000836816	0.00102217	0.00114745	0.001119726	0.000799774	0.001050606	0.00125844	0.000925385	0.000968152	0.001266745	0.000970485	0.000874307	0.000897383	0.000796219	0.000221405	0.000855512	0.001204027	0.001232006	0.00132889	0.001223207	0.000853692	0.000786198	0.000982194	0.000946145
ATM	0.000958856	0.001407209	0.002279637	0.002915447	0.001000041	0.00118748	0.002515912	0.00313833	0.001555521	0.001851352	0.004047819	0.001472806	0.00118445	0.001614822	0.001097333	9.23E-05	0.001401308	0.002917994	0.002683578	0.003276832	0.003306484	0.002715005	0.0010426	0.001673298	0.00187765
