geneid	chr	left	right
ABCB1	chr7	87133179	87342639
ABL1	chr9	133589268	133763062
ABL2	chr1	179068462	179198819
ACVR1B	chr12	52345451	52390863
AIP	chr11	67250505	67258579
AKT1	chr14	105235686	105262080
AKT2	chr19	40736224	40791265
AKT3	chr1	243651535	244006886
ALK	chr2	29415640	30144477
ANKRD11	chr16	89334035	89556969
APC	chr5	112043202	112181936
AR	chrX	66763874	66944119
ARAF	chrX	47420516	47431320
ARFRP1	chr20	62329995	62339355
ARID1A	chr1	27022522	27108601
ARID1B	chr6	157099064	157531913
ARID2	chr12	46123620	46301819
ARID5B	chr10	63661013	63856707
ASXL1	chr20	30946147	31027122
ASXL2	chr2	25962253	26101312
ATM	chr11	108093559	108239826
ATR	chr3	142168077	142297668
ATRX	chrX	76760356	77041719
AURKA	chr20	54944445	54967351
AURKB	chr17	8108049	8113883
AXIN1	chr16	337440	402676
AXIN2	chr17	63524681	63557740
AXL	chr19	41725108	41767671
B2M	chr15	45003685	45010357
BAP1	chr3	52435024	52444009
BARD1	chr2	215593262	215674428
BBC3	chr19	47724079	47736023
BCL10	chr1	85731459	85742587
BCL2	chr18	60790579	60986613
BCL2L1	chr20	30252261	30310656
BCL2L11	chr2	111878491	111926022
BCL2L2	chr14	23775971	23780968
BCL6	chr3	187439165	187463513
BCOR	chrX	39910499	40036582
BCORL1	chrX	129139164	129192058
BIRC3	chr11	102188194	102208465
BLM	chr15	91260579	91358686
BMPR1A	chr10	88516396	88684945
BRAF	chr7	140433812	140624564
BRCA1	chr17	41196312	41277500
BRCA2	chr13	32889617	32973809
BRD4	chr19	15348301	15391262
BRIP1	chr17	59756547	59940920
BTG1	chr12	92534054	92539673
BTK	chrX	100604435	100641212
BUB1	chr2	111395409	111435684
C8orf34	chr8	69242957	69731258
CALR	chr19	13049414	13055304
CARD11	chr7	2945709	3083509
CASP8	chr2	202098166	202152434
CBFB	chr16	67063050	67134961
CBL	chr11	119076990	119178859
CBR3	chr21	37507263	37518860
CCND2	chr12	4382902	4414522
CCND3	chr6	41902671	42016610
CCNE1	chr19	30302901	30315215
CD274	chr9	5450503	5470567
CD276	chr15	73976622	74006859
CD79A	chr19	42381190	42385439
CD79B	chr17	62006098	62009704
CDA	chr1	20915444	20945401
CDC73	chr1	193091088	193223945
CDH1	chr16	68771195	68869444
CDK12	chr17	37617739	37690800
CDK4	chr12	58142003	58146164
CDK6	chr7	92234235	92465941
CDK8	chr13	26828756	26978569
CDKN1A	chr6	36644237	36655116
CDKN1B	chr12	12870302	12875305
CDKN1C	chr11	2904448	2906995
CDKN2A	chr9	21967751	21994490
CDKN2B	chr9	22002902	22009312
CDKN2C	chr1	51434367	51440309
CEBPA	chr19	33790840	33793430
CENPA	chr2	27008882	27017457
CHD2	chr15	93443551	93571237
CHD4	chr12	6679248	6716551
CHEK1	chr11	125495036	125546150
CHEK2	chr22	29083731	29137822
CIC	chr19	42788817	42799949
CREBBP	chr16	3775055	3930121
CRKL	chr22	21271714	21308037
CRLF2	chrX	1314869	1331529
CSF1R	chr5	149432854	149492935
CSF3R	chr1	36931644	36948915
CTCF	chr16	67596310	67673088
CTLA4	chr2	204732511	204738683
CTNNA1	chr5	138089107	138270723
CTNNB1	chr3	41240942	41281939
CUL3	chr2	225334869	225450110
CXCR4	chr2	136871919	136875725
CYLD	chr16	50775961	50835846
CYP19A1	chr15	51500254	51630795
CYP1B1	chr2	38294746	38303323
CYP2C19	chr10	96522463	96612671
CYP2C8	chr10	96796529	96829254
CYP2C9	chr10	96698415	96749148
CYP2D6	chr22	42522501	42526883
CYP3A4	chr7	99354583	99381811
DAXX	chr6	33286335	33290793
DCUN1D1	chr3	182660559	182698326
DDR2	chr1	162602228	162750255
DHFR	chr5	79922045	79950800
DICER1	chr14	95552565	95623759
DIS3	chr13	73329540	73356344
DNAJB1	chr19	14625582	14629201
DNM2	chr19	10828729	10942586
DNMT1	chr19	10244022	10305755
DNMT3A	chr2	25455845	25565459
DNMT3B	chr20	31350191	31397162
DOT1L	chr19	2164148	2232577
DPYD	chr1	97543299	98386615
DYNC2H1	chr11	102980160	103350591
E2F3	chr6	20402137	20493945
EED	chr11	85955815	85989781
EGFL7	chr9	139557377	139567130
EGFR	chr7	55086725	55275031
EIF1AX	chrX	20142636	20159966
EIF4A2	chr3	186501361	186507686
EIF4E	chr4	99799607	99851786
ELAC2	chr17	12894929	12921381
EP300	chr22	41488614	41576081
EPCAM	chr2	47596287	47614167
EPHA3	chr3	89156674	89531284
EPHA5	chr4	66185281	66535653
EPHA7	chr6	93949738	94129300
EPHB1	chr3	134514099	134979309
ERBB2	chr17	37844393	37884915
ERBB3	chr12	56473809	56497291
ERBB4	chr2	212240442	213403352
ERCC1	chr19	45910591	45927177
ERCC2	chr19	45854649	45873845
ERCC3	chr2	128014866	128051752
ERCC4	chr16	14014014	14046205
ERCC5	chr13	103498191	103528351
ERG	chr21	39751949	40033704
ERRFI1	chr1	8071779	8086393
ESR1	chr6	152011631	152424409
ETV1	chr7	13930854	14031050
ETV4	chr17	41605211	41623762
ETV5	chr3	185764106	185826901
ETV6	chr12	11802788	12048336
EWSR1	chr22	29663998	29696515
EXT1	chr8	118811602	119124058
EXT2	chr11	44117099	44266980
EZH2	chr7	148504464	148581441
FAM175A	chr4	84382092	84406290
FAM46C	chr1	118148604	118171011
FANCA	chr16	89803959	89883065
FANCC	chr9	97861336	98079991
FANCD2	chr3	10068113	10143614
FANCE	chr6	35420138	35434881
FANCF	chr11	22644079	22647387
FANCG	chr9	35073835	35080013
FANCL	chr2	58386378	58468515
FANCM	chr14	45605136	45670093
FAS	chr10	90750288	90775542
FAT1	chr4	187508937	187644987
FBXW7	chr4	153242410	153456172
FGF10	chr5	44305097	44388784
FGF14	chr13	102373205	103054124
FGF19	chr11	69513006	69519106
FGF23	chr12	4477393	4488894
FGF3	chr11	69624736	69634192
FGF4	chr11	69587797	69590171
FGF6	chr12	4543308	4554780
FGFR1	chr8	38268656	38326352
FGFR2	chr10	123237844	123357972
FGFR3	chr4	1795039	1810599
FGFR4	chr5	176513921	176525127
FH	chr1	241660857	241683085
FLCN	chr17	17115526	17140502
FLT1	chr13	28874483	29069265
FLT3	chr13	28577411	28674729
FLT4	chr5	180028506	180076624
FOXA1	chr14	38059189	38064489
FOXL2	chr3	138663066	138665982
FOXO1	chr13	41129801	41240734
FOXP1	chr3	71004736	71633140
FRS2	chr12	69864129	69973562
FUBP1	chr1	78413591	78444777
FYN	chr6	111982479	112194655
GABRA6	chr5	161112658	161129598
GATA1	chrX	48644982	48652718
GATA2	chr3	128198265	128212030
GATA3	chr10	8096667	8117164
GATA4	chr8	11561717	11617509
GATA6	chr18	19749416	19782227
GLI1	chr12	57853918	57866051
GNA11	chr19	3094408	3121468
GNA13	chr17	63005407	63052920
GNAQ	chr9	80335189	80646219
GNAS	chr20	57414795	57486250
GPS2	chr17	7215978	7218658
GREM1	chr15	33010205	33026870
GRIN2A	chr16	9847265	10276611
GRM3	chr7	86273230	86494192
GSK3B	chr3	119540800	119813264
GSTP1	chr11	67351066	67354124
H3F3A	chr1	226250408	226259703
H3F3B	chr17	73772515	73775860
H3F3C	chr12	31944119	31945175
HGF	chr7	81331444	81399452
HIST1H1C	chr6	26055968	26056699
HIST1H2BD	chr6	26158349	26171577
HIST1H3A	chr6	26020718	26021186
HIST1H3B	chr6	26031817	26032288
HIST1H3C	chr6	26045639	26046097
HIST1H3D	chr6	26197012	26199464
HIST1H3E	chr6	26225383	26225844
HIST1H3F	chr6	26250370	26250835
HIST1H3G	chr6	26271146	26271612
